name,Tc,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number
Er0.25Ho0.75Rh4B4,6.44,4,0.634647759,0.560602166,0.510544482,0.490706736,0.476343762,29.69444444,63,21.95061728
Nb2.7Ti0.3Sn1,16.4,3,0.723705741,0.686541364,0.6759405,0.675092167,0.675003278,41.825,28,4.0875
Bi1.7Pb0.3Sr2Ca0.98Nd0.02Cu2O8.05,80.89,7,0.582081418,0.54226015,0.535133817,0.534894111,0.534883826,25.57475083,75,19.5269103
Cd0.01In0.99,3.3445,2,0.990050504,0.99000034,0.99,0.99,0.99,48.99,1,0.0198
Li0.28Zr1N1Cl1,13.4,4,0.53491981,0.440780132,0.379839584,0.356688515,0.340281489,19.76829268,37,12.3364069
Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.74,44,6,0.597720484,0.546045227,0.530588465,0.529218936,0.529050765,22.6310832,48,15.56353492
Y1Ba2Cu3.99Zn0.01O8,73.3,5,0.614347712,0.557410951,0.536690108,0.533920973,0.533384158,22.06733333,48,15.00515556
U0.9622Th0.0378Be13,0.557,3,0.931115355,0.928696924,0.928571841,0.92857143,0.928571429,10.28031429,88,11.66344082
Ba1Ti2Sb1.6Sn0.4O1,2.31,5,0.492160769,0.403214834,0.356051602,0.343152756,0.3368098,34.93333333,48,17.6
Nb0.4Ti0.4V0.2,7.6,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,29.8,19,8.96
La3Te4,4.0275,2,0.714285714,0.642563064,0.596289666,0.581748903,0.574567736,54.14285714,5,2.448979592
Fe2As2Sr4V2O6,27,5,0.5,0.420246926,0.385228999,0.37812945,0.375647164,22.75,30,11.0625
Hg0.5Br1Bi2Ca1Cu2OY,0,7,0.411764706,0.320007166,0.273604203,0.260362919,0.252231214,43.05882353,75,23.14186851
Gd0.002Th0.998,0.714,2,0.998002004,0.998000003,0.998,0.998,0.998,89.948,26,0.103792
Nb0.4Zr0.6,8.86,2,0.721110255,0.654213262,0.615030331,0.604895199,0.60103246,40.4,1,0.48
Li1.2Ti1.8O4,0,3,0.649646686,0.593096558,0.573795489,0.571750915,0.571448363,10.74285714,19,5.789387755
La1.8Sr0.2Cu0.95Ni0.05O4,0,5,0.641824568,0.590704091,0.573607184,0.571736589,0.571448059,24.45,49,18.8
Fe2As2Sr4Mg0.6Ti1.4O6,29,6,0.493393859,0.417911555,0.384998834,0.378108067,0.375646556,22.25,30,11.5
Ir0.99V0.01,0.11,2,0.990050504,0.99000034,0.99,0.99,0.99,76.46,54,1.0692
Mg0.79Al0.21B2,27.1,3,0.720200589,0.680337203,0.667945559,0.666809474,0.666672831,7.403333333,8,3.204444444
Cu0.06Ta1S2,4.16,3,0.731004189,0.679771393,0.657629617,0.654321799,0.653658571,34.88235294,57,24.91349481
La1Ni1Ga2,1.97,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,36.75,29,10.125
Nb2.985Hf0.015Al1,18,3,0.78702168,0.755487757,0.746878725,0.746300476,0.746251329,34.11625,59,10.558125
Ca1Ba1La1Cu3O6.97,64,5,0.600105883,0.552817716,0.538991746,0.537604122,0.537405712,21.2613724,49,14.4476697
Rh3Y7,0,2,0.761577311,0.717905435,0.702012551,0.700265258,0.700014632,40.8,6,2.52
Y2I0.6Br1.4C2,6.4,4,0.535412613,0.444421295,0.389216016,0.37016305,0.357759329,28.46666667,47,14.97777778
Au0.3Te0.7,1.99,2,0.761577311,0.717905435,0.702012551,0.700265258,0.700014632,60.1,27,11.34
Ho0.5Dy0.5Ni2B2C1,5.905,5,0.513701167,0.430637438,0.384162438,0.368238067,0.357275295,23.08333333,62,17.75
Dy1Ba2Cu3O6.68,90,4,0.603827021,0.547221576,0.528982277,0.527107062,0.526831766,25.11356467,58,18.03132681
Ir0.66Mo0.34,0.25,2,0.742428448,0.688801392,0.66472102,0.660904077,0.660086823,65.1,35,15.708
Er1Ba2.03Cu3.05O7,90,4,0.608859401,0.554116417,0.53706151,0.535409083,0.535181618,24.93348624,60,18.12452656
Si10.9V3C0.1,16.4,3,0.807553625,0.783945253,0.778817198,0.778584734,0.778571623,15.87142857,17,3.055102041
Nb25Ti75,7.2,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,26.75,19,7.125
Rh1W1,3.37,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,59.5,29,14.5
Ca0.2Ba1.55La1.25Cu3O6.98,10.4,5,0.60528131,0.55445441,0.539395568,0.537960772,0.537761969,23.48921418,49,16.76618764
